id,tieude,dientich,khuvuc
,"Cho Thuê (2500$) hoặc Bán Biệt Thự đường Nguyễn Oanh, P.15, Gò Vấp. 20 Tỷ (TL)",256 m²,"Quận Gò Vấp, Hồ Chí Minh"
,Bán nhà Mặt Tiền Bà Điểm 12 . Hốc Môn . 25 Tỷ,750 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Nhà bán Rẻ 2 mặt tiền nở hậu 8m APĐ 27 . Quận 12 . 122,4m2. 4,8 Tỷ",123 m²,"Quận 12, Hồ Chí Minh"
,"Bán nhà mặt tiền  đường Giác Đạo , Trung Chánh , Hóc Môn . 6 Tỷ",120 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán nhà Mặt Tiền Lương Hữu Khánh , P Phạm Ngũ Lão , Quận 1 . 63 Tỷ",90 m²,"Quận 1, Hồ Chí Minh"
,"Cần bán gấp nhà mới xây Nguyễn Ảnh Thủ, P Tân Chánh Hiệp, Quận 12,  5,8 Tỷ",80 m²,"Quận 12, Hồ Chí Minh"
,"Bán 2 nhà cấp 4 + 1 xưởng , An Phú Đông 10 . Quận 12 . 4,9 Tỷ",235 m²,"Quận 12, Hồ Chí Minh"
,"Nhà bán phố mặt tiền Đường Hà Đặc, Phường Trung Mỹ Tây, Quận 12, 112m2 . 7,5 Tỷ",112 m²,"Quận 12, Hồ Chí Minh"
,"Bán Nhà Hẻm Xe Hơi Trung Mỹ Tây 2A . Quận 12 . 76m2 . 3,65 Tỷ",76 m²,"Quận 12, Hồ Chí Minh"
,"Bán nhà  sai gon south, nguyễn hữu thọ, căn hộ 71m2, 2pn 2wc thô,  giá 2.65ty",71 m²,"Huyện Nhà Bè, Hồ Chí Minh"
,nhà 1 trệt 2 lầu chính chủ quận 12 giá 2.48 tỷ,42 m²,"Quận 12, Hồ Chí Minh"
,"Cần bán căn hộ chung cư A6 Giảng Võ Diện tích 65m 2 ngủ, lh : 0981311369",65 m²,"Quận Ba Đình, Hà Nội"
,Shantira Hội An: Nghỉ dưỡng thượng lưu - Đầu tư tối ưu,43 m²,"Huyện Điện Bàn, Quảng Nam"
,"Bán lô đất Mặt tiền hương lộ 39 Sổ hồng-Gần khu kinh tế mới-Giá chỉ 4,4tr/m2-Hỗ trợ vay ngân hàng !",284.7 m²,"Huyện Diên Khánh, Khánh Hòa"
," Cần bán căn hộ 2pn,ful nội thất ở  Imperia Garden 71m, giá 2.7 tỷ  lh:0904990108",71 m²,"Quận Thanh Xuân, Hà Nội"
,Phố núi Di Linh view hồ thơ mộng,180 m²,"Huyện Di Linh, Lâm Đồng"
,Bán căn Biệt Thự ở CỘNG HÒA Tân Bình 92m2 4 tầng xe hơi thang máy 8.3 tỷ.,92 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Bán nhà hẻm xe hơi Lê Văn Sỹ, Quận 3 ngang 6m giá chỉ 6.8 tỷ - 0964995882",108 m²,"Quận 3, Hồ Chí Minh"
,"Chính chủ bán nhà Q.Bình Thạnh giá cực rẻ,hẻm rộng 3,5m,gần đại lộ PVĐ.(HH 2%))",23 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Siêu Phẩm lô góc 3 mặt đường – oto tránh – KD 55m2, Hai MT: 5.5m Phố Vũ Trọng Phụng ",55 m²,"Quận Thanh Xuân, Hà Nội"
,Đất nền & nhà phố sở hữu căn nhà trong mơ của bạn chỉ với 490tr,35 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Căn hộ dịch vụ, xóa tan nổi lo ở trọ LH 0766585388",32 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán lo đất nền 100m2 thổ cư chính chủ sổ đỏ ngay tại trung tâm thị trấn Bến Lức, giá rẻ",100 m²,"Huyện Bến Lức, Long An"
,"Cần Rất Gấp - Định Công - DT 53/48 m2- 5T - 4,7 tỷ",53 m²,"Quận Hoàng Mai, Hà Nội"
,CẦN BÁN NHANH LÔ ĐẤT TRUNG TÂM LỘC AN,246 m²,"Huyện Bảo Lâm, Lâm Đồng"
, 2 MẶT TIỀN SẦM UẤT- CHO THUÊ CAO-Tân Bình-150 Triệu/1 tháng. ,210 m²,"Quận Tân Bình, Hồ Chí Minh"
,"BÁN ĐẤT NỀN TẠI THÔN CỔ RÙA, XÃ PHÚ MÃN, QUỐC OAI, DT 80M2",90 m²,"Huyện Quốc Oai, Hà Nội"
,bán nhà chính chủ - mặt tiền thổ cư,3238 m²,"Huyện Xuyên Mộc, Bà Rịa Vũng Tàu"
,Shophouse Him Lam Vạn Phúc - Tố Hữu - Hà Đông ,85 m²,"Quận Hà Đông, Hà Nội"
,CHÍNH CHỦ CẦN BÁN NHÀ MẶT TIỀN ĐƯỜNG NGUYỄN THỊ MINH KHAI,180 m²,"Thị xã Dĩ An, Bình Dương"
,"BÁN CĂN NHÀ MỚI XÂY TỌA LẠC TẠI KHU PHỐ AN LỢI, PHƯỜNG  AN HÒA,THỊ XÃ TRẢNG BÀNG TÂY NINH.",137.5 m²,"Huyện Trảng Bảng, Tây Ninh"
, MASTERI CENTRE POINT - DỰ ÁN HOT NHẤT KHU ĐÔNG,77 m²,"Quận 9, Hồ Chí Minh"
,"Bán Nhà Phân Lô,Kinh Doanh,Ngọc Lâm Long Biên,4 Tầng, MT4, Giá 4.65T",37 m²,"Quận Long Biên, Hà Nội"
,"Nhà hiếm phố Điện Biên Phủ, 15m ra MT, dt 36m2, giá 3.9tỷ",36 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"BÁN GẤP!!! Bán nhà phân lô Tập thể Học viện An ninh C500, Chiến Thắng,Văn Quán, hơn 4 tỷ",38 m²,"Quận Hà Đông, Hà Nội"
,"Biệt thự Xanh Villas hướng Đông Nam, không gian sinh thái tựa Đà Lạt, 8.2 tỷ, 281 m2",281 m²,"Huyện Thạch Thất, Hà Nội"
,Bán nhà đẹp KĐT Đền Lừ quận Hoàng Mai 6.5 tỷ,45 m²,"Quận Hoàng Mai, Hà Nội"
,"Đẹp!!!Bán nhà 5 tầng dịch vụ Xa La,Hà Đông,ô tô vào nhà,kinh doanh,nội thất đẹp,50m2,5.7tỷ",50 m²,"Quận Hà Đông, Hà Nội"
,"Rẻ!!!Bán gấp lô đất dịch vụ Cây Quýt, KĐT Văn Khê,Tố Hữu,48m2, 3.9tỷ,gara ô tô,kinh doanh",48 m²,"Quận Hà Đông, Hà Nội"
,"BÁN NHÀ CẤP 4 - LÔ GÓC NỞ HẬU - Ô TÔ TRÁNH - LINH ĐÀM - 81M2, MT5.7M, 6.2TỶ",81 m²,"Quận Hoàng Mai, Hà Nội"
,"Kinh doanh khủng!!!Bán nhà 4 tầng,mặt phố Kiến Hưng,Hà Đông,mặt đường 25m,50m2,6.9tỷ",50 m²,"Quận Hà Đông, Hà Nội"
,"06 căn Shophouse thông tầng mặt tiền Lê Văn Quới HOT HOT HOT , giá chỉ 5 tỷ/căn",100 m²,"Quận Bình Tân, Hồ Chí Minh"
,"06 căn Shophouse thông tầng mặt tiền Lê Văn Quới HOT HOT HOT , giá chỉ 5 tỷ/căn",100 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Chỉ 164tr nhận ngay nhà Bình Tân 2PN, 2WC tặng nội thất cao cấp. Gần Đầm Sen",36 m²,"Quận Bình Tân, Hồ Chí Minh"
,"jBán lô đất sổ riêng an viễn , gần chọ và khu công nghiệp giang điền ",254 m²,"Trảng Bom, Đồng Nai"
,Bán nhà liền kề Đền Lừ quận Hoàng Mai giá rẻ nhất 4.3 tỷ ,35 m²,"Quận Hoàng Mai, Hà Nội"
,"Bán nhà mặt tiền cách Mạng Tháng Tám.Q3.60m2 ,3 lầu bán 16 tỷ",60 m²,"Quận 10, Hồ Chí Minh"
,"Thanh Long Bay mở bán đợt 1 nhà phố biển sở hữu vĩnh viễn chỉ 1,8 tỷ (TT 30%) cam kết mua lại 12%",108 m²,"Huyện Hàm Thuận Nam, Bình Thuận"
,cơ hội nhận chiết khấu đến 40tr/nền cho khách cọc trong tuần.,100 m²,"Huyện Thống Nhất, Đồng Nai"
,"Mua nhà mới bán rẻ nhà lầu 3 trên đường Nguyễn Thiện Thuật P.3, Q.3. hơn 60m2. NG02",60 m²,"Quận 3, Hồ Chí Minh"
,"Ngay trung Tâm Quận 3, Chỉ 2,3 tỷ có ngay nhà 80m2. NG01.",80 m²,"Quận 3, Hồ Chí Minh"
,"CẦN BÁN NHÀ ĐƯỜNG 19/5 HÀ ĐÔNG, DT 35 M2, 4T, GIÁ CHỈ 2.65 TỶ",35 m²,"Quận Hà Đông, Hà Nội"
,"Mặt phố Phan Văn Trường, 76m2, 9 tầng thang máy, kinh doanh đỉnh.",76 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán Nhà Lô Góc,Hẻm Thông , Chu Văn An, Quận Bình Thạnh, 5Tầng,30m2 Chỉ 4,1 tỷ",30 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"BÁN CĂN HỘ GÓC 3PN DT 107M2 DỰ ÁN HÀ NỘI PARAGON, VIEW BỂ BƠI, FULL NỘI THẤT, KÝ HĐ TRỰC TIẾP CĐT",107 m²,"Quận Cầu Giấy, Hà Nội"
,HƠN LÃI NGÂN HÀNG. Nhà 4 tỉ - Doanh thu 25tr/tháng. DT 6x50m. Thanh Nhàn,50 m²,"Quận Hai Bà Trưng, Hà Nội"
,DOANH THU ĐỈNH CỦA ĐỈNH. Nhà 4 tỉ - Doanh thu 25tr/tháng. DT 6x50m. Thanh Nhàn,50 m²,"Quận Hai Bà Trưng, Hà Nội"
," SIÊU SỐC BÁN NHÀ KIM GIANG 48M2, NGÕ THÔNG , Ô TÔ ĐỖ ,  TIỆN ÍCH SIÊU ĐỈNH, 4 TẦNG, GIÁ 2.98 TỶ",48 m²,"Quận Thanh Xuân, Hà Nội"
,GÀ ĐẺ TRỨNG VÀNG. Nhà 4 tỉ - Doanh thu 25tr/tháng. DT 6x50m. Thanh Nhàn,50 m²,"Quận Hai Bà Trưng, Hà Nội"
," SIÊU SỐC BÁN NHÀ KIM GIANG 48M2, NGÕ THÔNG , Ô TÔ ĐỖ ,  TIỆN ÍCH SIÊU ĐỈNH, 4 TẦNG, GIÁ 2.98 TỶ",48 m²,"Quận Thanh Xuân, Hà Nội"
,SIÊU ĐẦU TƯ. Nhà 4 tỉ - Doanh thu 25tr/tháng.DT 6x50m. Thanh Nhàn,50 m²,"Quận Hai Bà Trưng, Hà Nội"
,"ĐẤT NỀN GẦN SÂN BAY LONG THÀNH, ĐỐI DIỆN TRUNG TÂM HÀNH CHÍNH 5X20 100% THỔ CƯ",100 m²,"Huyện Long Thành, Đồng Nai"
,CĐT XUÂN MAI CHÍNH THỨC MỞ BÁN CCCC HÀ NỘI PARAGON TÒA C (Victory Tower).,85 m²,"Quận Cầu Giấy, Hà Nội"
,ĐẤT NỀN PHÚ MỸ NƠI UY TÍN ĐỂ ĐẦU TƯ HIỆN TẠI VÀ TƯƠNG LAI,150 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,"BÁN CĂN HỘ CAO CẤP THE ZEI 3PN 104 M2 BAN CÔNG ĐB-ĐN, VIEW SVĐ MỸ ĐÌNH CỰC HÚT.",104 m²,"Quận Nam Từ Liêm, Hà Nội"
,"bán gấp biệt thự vạn phúc hà đông dt255m2,đường 17m,hướng ĐN,giá rẻ",255 m²,"Quận Hà Đông, Hà Nội"
,"Mặt phố Linh Lang, 45m2 4 tầng mặt tiền 6m. Kinh doanh đỉnh",45 m²,"Quận Ba Đình, Hà Nội"
,"Nhà riêng 1 trệt 2 lầu,sổ hồng chính chủ, Quận Tân Phú đường Tân Kỳ Tân Quý",48 m²,"Quận Tân Phú, Hồ Chí Minh"
,"Cần vốn, bán rẻ nhà C4 gần Xốm, Hà Đông, ô tô vào nhà, 160m2, MT 7.1m, 6.7 tỷ",160 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà xã đàn 2, đống đa: 40m, 5 tầng, MT: 4m, ô tô 10m.  4,45 tỷ. LH: 0944828386",40 m²,"Quận Đống Đa, Hà Nội"
,"Bán Nhà Tây Sơn: 60m2, mt 4,5m, 4T, Ô tô, KD, VP, cách phố 20m,  3 Thoáng, giá 6.5 tỷ. 0944828386",60 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà ngõ 68 Cầu giấy: 60m,5 Tầng, MT: 4,5m,  nhà mới, ô tô 10m.Giá: 6 tỷ. 0944828386",60 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà Nguyễn Trãi, thanh xuân: 55m, 4T, ô tô 10m. Giá: 4,4 tỷ. LH: 0944828386",55 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán nhà Tôn Đức Thắng: 48m2, 4T, Mt 4.8m, Ô tô vào nhà, Phân Lô, 5.9 tỷ. ",80 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà xã đàn, đống đa: 18m, 5 Tầng,MT: 3,8m. KD, ô tô tránh. Giá: 2,45 tỷ. LH: 0944828386",18 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Phân Lô Vĩnh Phúc, Ba Đình: 50m, 5T, ô tô , vỉa hè , lô góc. Giá: 7,7 tỷ.0944828386",50 m²,"Quận Ba Đình, Hà Nội"
," Bán nhà mặt phố Trần Quốc Vượng, cầu giấy: 60m, 5T, MT: 12m, lô góc, KD. Giá: 16 tỷ.0944828386 ",60 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán Mặt phố Thuy khê, Tây Hồ: KD sầm uất, lô góc: 22m, xây 7 tầng, MT: 4m, giá: 7,9 tỷ. 0944828386",22 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà phố Ngọc Hà, Ba Đình: 35m 4 tầng, vị trí đẹp, ô tô 50m. Giá: 3,4 tỷ. 0944828386",35 m²,"Quận Ba Đình, Hà Nội"
,"Mặt phố Thuy khê, Tây Hồ: KD sầm uất, lô góc: 22m, xây 7 tầng, MT: 4m, giá: 7,9 tỷ. 0944828386",22 m²,"Quận Tây Hồ, Hà Nội"
,"Bán mặt phố Doãn kế thiện, cầu giấy: 100m, 4 tầng. Giá: 17.6 tỷ. LH: 0944828386",100 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà trung kính, cầu giấy: 34m, 5 tầng, cách ô tô 30m. Giá: 3,35 tỷ. LH: 0944828386",34 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà Thái Hà, Đống Đa: 60m, MT: 4,6m., lô góc, 3 mặt thoáng.Giá: 5,9 tỷ. 0944828386",60 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà phân lô trần quang diệu, đống đa: 40m, MT: 5m, 5T, ô tô. Giá: 5,9 tỷ",40 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà thái thịnh: Lô góc: 80m, MT: 8m, xây 4 tầng: Giá: 6,6 tỷ. LH: 0944828386",80 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà xã đà, đống đa: 18m, 5 Tầng,MT: 3,8m. KD, ô tô tránh. Giá: 2,45 tỷ. LH: 0944828386",18 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà phố Lý Văn Phức, đống đa: 20m, 4 tầng, nhà đẹp, cách ô tô 10m. 2,45 tỷ. 0944828386",20 m²,"Quận Đống Đa, Hà Nội"
,"Bán gâp nhà ngõ 67, thái thịnh. 40m vuông, nhà 4 tầng. ô tô đỗ ngõ. Giá 3.850 tỷ. Lh: 0944828386",40 m²,"Quận Đống Đa, Hà Nội"
,"Thái thịnh 60m x 5 tầng, MT: 5.8m, nở hậu, Giá 4,1 tỷ, KD, ô tô cách 10m.",60 m²,"Quận Đống Đa, Hà Nội"
,Bán nhà Cầu Giấy lô góc nở hậu 40m2 giá 2.9 tỷ có chỗ để xe ô tô,35 m²,"Quận Cầu Giấy, Hà Nội"
,CHUNG CƯ HẠNG A THE MATRIX ONE MỄ TRÌ,KXĐ,"Quận Nam Từ Liêm, Hà Nội"
,Bán đất 102m2 x MẶT TIỀN 5M.  ĐI BỘ RA QUỐC LỘ 32. BẮC TỪ LIÊM-HÀ NỘI. giá tốt cho nhà đầu tư 0988418666,102 m²,"Quận Bắc Từ Liêm, Hà Nội"
,BÁN CHUYỂN NHƯỢNG LÔ 02 DÃY LK 3 DỰ ÁN HẢI QUÂN TAM GIANG KHI VSIP TRIỂN KHAI SẼ TĂNG GIÁ CỰC NHANH,100 m²,"Huyện Yên Phong, Bắc Ninh"
,Bán nhà riêng Quan Nhân 5 tầng 32 m2 giá 3.2 tỷ,32 m²,"Quận Thanh Xuân, Hà Nội"
,Bán nhà Giáp Nhất vị trí đẹp ngõ thông rộng 34m2 5 tầng giá 3.25 tỷ,34 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán căn hộ 3PN - 2WC 104m2 view nội khu quà tặng 60tr HTLS 0% trong 24 tháng, CK 11%. Trực tiếp CĐT",160 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Lô góc 125m2, P.Trường Thạnh, Q.9, KDC hiện hữu, đường xe hơi, Sổ hồng. Giá 27 T/m2",125 m²,"Quận 9, Hồ Chí Minh"
,"Bán nhà phố Nguyễn Lương Bằng 3 Tỷ 9 , Ở luôn, gần phố, 55M2, 5 Tầng",55 m²,"Quận Đống Đa, Hà Nội"
,dự án biệt thự Sun Group Quang Hanh,180 m²,"Thị Xã Cẩm Phả, Quảng Ninh"
,Miếng đất 10m mặt tiền ,200 m²,"Thị Xã Bảo Lộc, Lâm Đồng"
,"Bán căn hộ Goldmark City 2 cửa chính dual key 135m2, đã có sổ hồng vĩnh viễn",160 m²,"Quận Bắc Từ Liêm, Hà Nội"
,Bán Villa Sun Quang Hanh - Biệt thự nghỉ dưỡng chăm sóc sức khỏe của Sun Group,200 m²,"Thị Xã Cẩm Phả, Quảng Ninh"
,"Bán nhanh căn hộ 4pn 160m2 đóng 1,4 tỷ nhận nhà ở ngay tháng 11",160 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Nhận biệt thự sân vườn ở ngay chỉ với 3,2 tỷ đồng.Số lượng có hạn",160 m²,"Thành Phố Đồng Hới, Quảng Bình"
,"Suất ngoại giao căn Dual Key Goldmark City, diện tích 135m2. Đóng trước 1.1 tỷ nhận nhà ở ngay",104 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Chính chủ Bán nhà HXH đường Tôn Đản, Phường 15, Quận 4. 36m2 Chỉ 4,2 tỷ",36 m²,"Quận 4, Hồ Chí Minh"
,"Bán 15 căn đẹp nhất tòa Diamond Goldmark City, chiết khấu 11%, quà tặng 60tr. Trực tiếp CĐT",104 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Nhà phố Nguyễn Thị Định, Phân lô kinh doanh 45m2 12 tỷ",45 m²,"Quận Cầu Giấy, Hà Nội"
,"CHỦ NHÀ CẦN TIỀN BÁN GẤP, NHÀ GẦN ĐƯỜNG LÊ TRỌNG TẤN - HÀ ĐÔNG, DIỆN TÍCH 45M2, 4 TẦNG, RỘNG 5.8M, GIÁ CHỈ 1.8 TỶ. LIÊN HÊ: 0383513639",45 m²,"Quận Hà Đông, Hà Nội"
,"CHUYỂN CHỖ Ở MỚI ĐỂ GIÁ NGỘP, BÁN GẤP CĂN NHÀ MẶT TIỀN",120 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"BÁN LÔ ĐẤT ĐẸP, KDC PHƯỚC THÁI (XÃ TAM PHƯỚC), CẠNH QUỐC LỘ 51, SHR, CHỈ 1TỶ350 THƯƠNG LƯỢNG.",90 m²,"Thành phố Biên Hòa, Đồng Nai"
,"Chung cư mini 2/9 - Hải Châu, 26m2 - 37 - 45m2 ở ngay - sở hữu vĩnh viễn, chỉ 580 triệu/căn.",45 m²,"Quận Hải Châu, Đà Nẵng"
,HOT CHỦ NHÀ NGỘP BANK CẦN BÁN GẤP,40 m²,"Quận Tân Phú, Hồ Chí Minh"
,CĂN HỘ CAO CẤP MASTERI CENTRE POINT NGAY TRUNG TÂM DỰ ÁN VINHOMES GRAND PARK. CALL: 0904302393,100 m²,"Quận 9, Hồ Chí Minh"
,"Chính chủ bán nhà Triều Khúc, kinh doanh, 6 tầng giá chỉ hơn 3 tỷ",37 m²,"Quận Thanh Xuân, Hà Nội"
,"Nhà cần bán mấy trăm mét đất mặt tiền DT742, Vĩnh Tân, Tân Uyên",641 m²,"Huyện Tân Uyên, Bình Dương"
,"Đất mặt Sông, ven biển, khu vực dân cư đông đúc, giá chỉ 13,5trm2",108 m²,"Quận Ngũ Hành Sơn, Đà Nẵng"
,Bán gấp hai dãy trọ liền kề tại thương cảng Cái Mép,500 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,0912272990 Chủ nhà gửi bán  căn hộ 2Pn- 2WC- 82m2- The Emerald(CT8 Đình Thôn),82 m²,"Quận Nam Từ Liêm, Hà Nội"
,"Bán nhà mặt phố, phố cổ Hà Đông, ô tô vào nhà, vỉa hè 3m, kinh doanh, 3.1 tỷ thương lượng",29 m²,"Quận Hà Đông, Hà Nội"
,"Chính chủ kẹt tiền bán nhanh lô đất thuộc thị xã Phú Mỹ giá 270tr,/150m2 lh 0868,04,8765",125 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,"Mặt tiền Hậu giang Q6, 90m2, 7 tầng, 7PN, 1 Xông hơi giá chỉ 15 tỷ ",90 m²,"Quận 6, Hồ Chí Minh"
,BÁN NHÀ HÀO NAM ĐỐNG ĐA 67M2 4T LÔ GÓC 2 MẶT THOÁNG,67 m²,"Quận Đống Đa, Hà Nội"
,Bán lô góc 2 mặt tiền cực đẹp tại Thôn Đông xã Lâm Động Thuỷ Nguyên. Diện tích 80m2,80 m²,"Huyện Thủy Nguyên, Hải Phòng"
,"BÁN NHÀ ĐẸP 200 NGUYỄN SƠN, DT 51M2, 5 TẦNG, GIÁ 5.75 TỶ (CÓ THƯƠNG LƯỢNG)",51 m²,"Quận Long Biên, Hà Nội"
,"Kẹt tiền bán Nhà Cách Mạng Tháng 8, Quận 10, một xẹt, 45m2, 3 Tầng 3.3 tỷ",45 m²,"Quận 10, Hồ Chí Minh"
,"Nhà Bá đạo hẻm xe hơi. Phan Văn Trị. Bình Thạnh, 5 tỷ 55m2.",55 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Quận Hai Bà Trưng 40m2 4 tầng 2,9 tỷ-NGÕ TO ",40 m²,"Quận Hai Bà Trưng, Hà Nội"
,Sổ riêng 63m đất trung tâm TP. Đà Lạt - 5 tỷ 950 - đường Phan Đình Phùng - Hẻm xe hơi,63 m²,"Thành Phố Đà Lạt, Lâm Đồng"
,"Nhà Phố ,Huỳnh Văn Bánh Phú Nhuận ,Mặt Tiền 64m2  13,2 tỷ . 1 trệt 5 lầu 7PN",64 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"CC CẦN BÁN 2 LÔ ĐẤT GIÁ ĐẦU TƯ, TỔ 15 YÊN NGHĨA",49 m²,"Quận Hà Đông, Hà Nội"
,"CHÍNH CHỦ BÁN NHÀ ,HUỲNH VĂN BÁNH ,P17,Q.PHÚ NHUẬN,CÓ THỂ KINH DOANH NHỎ,31M2,5 LẦU ,LÔ GÓC, CHỈ 4,9 TỶ.",31 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Bán Nhà C4 Quốc Lộ 13. P.Hiệp Bình Phước, Q.Thủ Đức, Hẻm Ô Tô, 109m2 Giá 5,4 Tỷ",109 m²,"Quận Thủ Đức, Hồ Chí Minh"
,"CHÍNH CHỦ BÁN NHÀ ,HUỲNH VĂN BÁNH ,P17,Q.PHÚ NHUẬN,CÓ THỂ KINH DOANH NHỎ,31M2,5 LẦU ,LÔ GÓC, CHỈ 4,9 TỶ.",31 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,Mua nhà TP.Tân An – hưởng lợi “double”,100 m²,"Thị Xã Tân An, Long An"
,Chiết khấu lên đến 12% khi thanh toán nhanh tại La Villa Green City,100 m²,"Thị Xã Tân An, Long An"
,"Bán gấp nhà lô góc,HXH đường Phạm Văn Hai, P3, Tân Bình,phong thủy tốt,giá 4.2  tỷ.L/H: 0906755403",43 m²,"Quận Tân Bình, Hồ Chí Minh"
,NHÀ ĐẸP HOÀNG HOA THÁM BÌNH THẠNH – HẺM XE TẢI - 75M2 4 TẦNG - 6 TỶ 99,75 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Bán nhà Xuân La, diện tích 40m2, 5 tầng, mặt tiền 4m, giá 3.x tỷ",50 m²,"Quận Tây Hồ, Hà Nội"
,"ĐẲNG CẤP MẶT PHỐ TÂY SƠN ĐỐNG ĐA 62m MT 5,5m 15 tỷ",62 m²,"Quận Đống Đa, Hà Nội"
,Chính chủ bán căn góc MTKD Nguyễn Xuân Khoát,95 m²,"Quận Tân Phú, Hồ Chí Minh"
,KHƯƠNG HẠ - SIÊU PHẨM NHÀ ĐẸP PHÂN LÔ - NGÕ THÔNG OTO 7 CHỖ - GIÁ CỰC RẺ!!!,56 m²,"Quận Thanh Xuân, Hà Nội"
,chính chủ cần bán lô đất 39m2,39 m²,"Quận Nam Từ Liêm, Hà Nội"
,"Bán nhà 637/33 Quang Tung, quận gò vấp  4.5m x 11.5m, 2 lầu, 3.1 tỷ.",52 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Bán nhà 26A Hoàng Cầu 69m, 5T, MT 6m, KD ",69 m²,"Quận Đống Đa, Hà Nội"
,"Bán gấp nhà hẻm ôtô 536  uCơ P.10, Q. Tân Bình 6x16  4 tầng giá chỉ 8ty900 TL",94 m²,"Quận Tân Phú, Hồ Chí Minh"
,NHÀ MỸ ĐÌNH - SỔ ĐẸP NỞ HẬU - Ô TÔ ĐỖ CỬA - KINH DOANH TỐT. ,43 m²,"Quận Nam Từ Liêm, Hà Nội"
,"BÁN GẤP NHÀ HẺM XH , ĐƯỜNG SỐ 8 GÒ VẤP, 1 TRỆT 1 LẦU, DT 4X14,SHR,GIÁ CHỈ  2.85 TỶ",50 m²,"Quận Gò Vấp, Hồ Chí Minh"
,Bán nhà mặt tiền 20m2 Gía 3.3 tỷ Đường Trường Sa Phường 17 Quận Bình Thạnh,20 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,NHÀ HOÀNG MAI HIẾM - RẺ - ĐẸP - SẮM NHÀ ĐÓN TẾT - NGÕ XE MÁY TRÁNH. 2.3 TỶ.,41 m²,"Quận Hoàng Mai, Hà Nội"
,"Nhà đẹp đón tết Nguyễn Trọng Tuyển phường 1 Tân Bình, 3 tầng, 35m2, 4.5 tỷ.",35 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Quận Bình Thạnh, giá 3.5 tỷ 38m nhà hiếm có phường 12",40 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Bán căn hộ chung cư Him Lam Ba Tơ, P.7, Q8",86 m²,"Quận 8, Hồ Chí Minh"
,"  Cần Bán Liền Kề LACASTA Văn Phú Hà Đông Giá 8,x tỷ",75 m²,"Quận Hà Đông, Hà Nội"
,Nhà cho thuê hoặc bán,98 m²,"Huyện Diên Khánh, Khánh Hòa"
,MỚI! Căn hộ NEW GALAXY - HƯNG THỊNH TRONG LÀNG ĐẠI HỌC QUỐC GIA,50 m²,"Thị xã Dĩ An, Bình Dương"
,"Nhà 7,5m x18m, xe hơi vao tận nhà cách Bùi Đình Túy 100m, Bình Thạnh.",135 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"GẤP, 50m2 Quận 1 Hẻm Trần Khắc Chân giá 4 Tỷ3.",50 m²,"Quận 1, Hồ Chí Minh"
,THE SOL CITY Đô thị thông minh đẳng cấp quốc tế.Hotline: 0906 307 407,100 m²,"Huyện Cần Giuộc, Long An"
